x,y,corr,adf,eg,spr_std,z_std,score
GOOGL,AMD,0.9509058676825225,0.00017817519860223896,0.0001541543181786797,16.710040879690812,1.4210421899198498,1.350828324383072
GOOGL,AMAT,0.9703344221944211,0.007081672303062057,0.0027329944483648907,19.017802485171153,1.5085862775107761,1.4494944902189426
AMZN,ADI,0.9465329391529748,0.045733865859756966,0.024289073532686046,22.408280455485432,1.3845875238978567,1.2202444072589296
IBM,ORCL,0.8924598416426706,0.021588404969308472,0.006802236763198844,23.264680384149163,1.4063777570149234,1.2196858791464464
IBM,NVDA,0.9395870566550925,7.970714692971643e-06,8.287722087386421e-06,14.039408123700854,1.340465783552,1.2594638229518171
AMD,AMAT,0.9671499023901639,0.018589249279299093,0.007042946743999072,19.338654176829138,1.4713418950998838,1.3867196504969241
QCOM,TER,0.9465247843822914,0.04235476592126128,0.013016416974753406,15.056249415504142,1.3868971030697945,1.240768650112232
ADI,AMAT,0.9702367395250969,0.04894490088846158,0.020753980487122202,16.704419835851425,1.408198075227558,1.272444812383523
KLAC,MPWR,0.9770459456935764,0.0026664974700703428,0.0013983018640184666,51.99481665150827,1.3407433990989182,1.3046480299529584
MCHP,MRVL,0.8592242070791943,0.03786976950604986,0.03232364269321935,12.324767615649014,1.3577223633800597,1.0861291416190575
